"date","MBDA","BIS","EDA","ITA","BEA","NIST","USPTO","Census","NOAA- Main","NOAA- Weather"
2015-07-01,0.17,2.4,2.16,8.77,2.13,165.89,354.15,374.25,1929.85,4705.49
2015-07-02,0.25,1.8,1.69,7.93,1.49,148.8,316.31,335.17,1653.72,4072.56
2015-07-03,0.14,0.69,0.46,2.92,0.88,91.52,122.92,183.35,1307.06,3301.05
2015-07-04,0.09,0.25,0.25,1.75,0.51,48.35,65.23,124.25,1204.45,3194.07
2015-07-05,0.15,0.36,0.41,2.56,0.65,62.08,97.97,151.29,1460.11,3705.36
2015-07-06,0.29,2.18,2.34,9.19,1.99,157.7,363.73,397.26,1878.97,5051.99
2015-07-07,0.3,2.38,2.41,10.25,19.29,160.07,396.5,438.76,1642.19,4572.07
2015-07-08,0.3,2.58,4.8,10.45,29.06,163.92,382.45,429.35,1648.12,4407.53
2015-07-09,0.31,2.49,3.97,10.75,27.47,151.17,361.18,416.33,1840.71,4419.85
2015-07-10,0.2,2.13,2.78,8.03,21.64,125.84,310.86,341.28,1512.38,3743.48
2015-07-11,0.1,0.3,0.51,2.2,8.92,50.54,82.85,146.99,1343.08,3337.19
2015-07-12,0.16,0.42,0.44,2.8,12.49,64.96,96.98,168.53,2030.41,4247.19
2015-07-13,0.19,2.36,2.71,9.56,27.62,158.15,406.24,426.47,3034.73,6290.75
2015-07-14,0.22,2.48,2.44,9.14,27.78,161.89,425.47,442.15,2206.3,5133.56
2015-07-15,0.22,2.42,2.73,8.95,28.28,164.16,360.79,420.07,1674.27,4130.19
2015-07-16,0.22,2.38,2.18,8.54,26.57,155.02,351.71,399.65,1568.07,3822.64
2015-07-17,0.18,2.01,1.67,8.07,21.11,119.89,298.56,333.3,1770.18,4245.78
2015-07-18,0.14,0.36,0.42,1.64,8.7,45.73,85.91,147.56,2031.83,4754.12
2015-07-19,0.16,0.32,0.39,2.13,12.33,56.81,99.4,166.18,1812.59,4193.81
2015-07-20,0.28,2.23,2.22,9.52,32.65,149.8,385.01,408.04,1787.26,4219.22
2015-07-21,0.29,2.53,2.11,10.06,33.67,168.03,427.67,419.62,1546.94,3754.73
2015-07-22,0.28,2.63,1.98,8.75,28.87,158.72,404.79,408.86,1396.36,3121.59
2015-07-23,0.22,2.58,2.07,8.86,27.98,152.13,404.12,399.52,1394.64,3320.53
2015-07-24,0.2,1.92,1.68,8.01,21.54,121.78,318.33,332.38,1430.86,3609.98
2015-07-25,0.18,0.36,0.4,1.81,9.65,49.28,87.25,141.46,1176,3166.33
2015-07-26,0.15,0.4,0.5,2.23,12.53,65.16,101.44,168.21,1191.66,3500.76
2015-07-27,0.28,2.47,2.17,9.73,32.38,156.41,436.86,422.08,1618.98,4244.05
2015-07-28,0.33,2.65,2.19,13.15,33.34,158.98,390.85,426.12,1605.6,4384.09
2015-07-29,0.22,2.48,2.36,9.7,33.35,149.7,369.02,409.11,1480.78,3972.51
2015-07-30,0.26,2.32,1.87,9.05,77.06,146.32,374.46,391,1501.03,3903.66
2015-07-31,0.03,1.86,3.67,7.45,31.4,110.05,307.71,309.65,1372.09,3193.04
2015-08-01,0.02,0.3,0.37,1.57,11.12,45.56,93.11,136.62,1197.67,2869.72
2015-08-02,0.01,0.43,0.45,2.32,14.37,58.05,95.33,180.2,1664.22,3766.69
2015-08-03,0,2.31,2.38,9.26,44.63,130.17,419.75,382.85,1696.51,3867.48
2015-08-04,0.01,2.52,4.54,8.6,36.99,134.51,438.01,398.29,1639.44,4072.07
2015-08-05,0.01,2.35,4.33,9.23,36.67,142.01,379.59,390.03,1535.5,3600.51
2015-08-06,0.01,2.31,3.08,8.36,28.32,145.35,342.23,368.44,1576.4,3905.05
2015-08-07,0.02,1.83,2.28,7.21,22.15,110.81,271.32,300.79,1424.67,3454.84
2015-08-08,0.01,0.51,0.5,1.49,9.19,49.16,79.11,123.62,1205.13,3029.84
2015-08-09,0.02,0.41,0.65,1.9,11.42,58.3,92.78,153.48,1203.5,3278.58
2015-08-10,0,2.41,3.43,9.33,27.14,148.85,330.61,388.45,1494.2,4171.62
2015-08-11,0.01,2.45,3.11,9.83,26,151.68,345.16,394.55,1424.01,3671.51
2015-08-12,0.02,2.35,3.02,8.64,25.49,150,332.81,379.69,1326.47,3146.77
2015-08-13,0.03,2.25,3.07,8.16,26.35,142.9,311.2,377,1329.65,3095.44
2015-08-14,0,1.91,2.15,6.62,21.61,115.92,265.44,311.16,1429.58,3467.66
2015-08-15,0.01,0.31,0.98,1.36,9.85,48.55,79.36,129.55,1173.19,2969.57
2015-08-16,0.01,0.42,0.56,2.09,12.91,65.34,106.33,152.26,1233.42,3253.9
2015-08-17,0.02,2.4,2.83,8.32,29.21,157.58,349.19,399.58,1752.32,4484.76
2015-08-18,0.03,2.46,3.77,8.83,29.57,155.54,371.43,429.28,2140.01,5220.35
2015-08-19,0.01,2.56,3.21,8.9,26.84,159.99,353.76,406.59,1908.43,4465.87
2015-08-20,0.02,2.48,2.67,10,26.32,150.16,333.27,401.75,1846.66,3939.59
2015-08-21,0.02,1.81,2.27,6.74,21.87,121.47,282.39,326.7,1771.95,3414.09
2015-08-22,0.01,0.42,0.42,1.44,9.37,51.95,84.28,142.22,1734.5,3653.18
2015-08-23,0,0.41,0.58,2.1,12.07,71.78,101.47,172.52,1479.09,3270.07
